step	baseline	experiment
459	6.158014297485352	6.848785400390625
460	6.558736801147461	7.311402320861816
461	6.367323875427246	7.048430442810059
462	6.7053937911987305	7.459192276000977
463	6.613073348999023	7.341042518615723
464	6.83589506149292	7.640649795532227
465	6.737441539764404	7.430121898651123
466	5.996699333190918	6.543885707855225
467	6.663227081298828	7.406872272491455
468	6.63323974609375	7.359219551086426
469	6.326157569885254	6.955601215362549
470	6.712904930114746	7.4419355392456055
471	6.155919075012207	6.829716682434082
472	6.439946174621582	7.165441036224365
473	6.293671607971191	7.031172752380371
474	6.849767684936523	7.560492515563965
475	6.404397964477539	7.1172895431518555
476	6.601744651794434	7.303059101104736
477	6.497828960418701	7.219964027404785
478	6.371366500854492	7.059329986572266
479	6.215180397033691	6.9392242431640625
480	5.534463405609131	6.154083251953125
481	6.1256537437438965	6.858071327209473
482	5.922206878662109	6.588408470153809
483	5.92146110534668	6.574282169342041
484	5.774923324584961	6.455232620239258
485	6.010615825653076	6.72826623916626
486	5.777004718780518	6.466963291168213
487	6.219371795654297	6.934220314025879
488	6.446140766143799	7.142526626586914
489	6.208168983459473	6.880855560302734
490	6.597646713256836	7.338122367858887
491	6.497519493103027	7.245012283325195
492	6.080355167388916	6.779491424560547
493	6.8986968994140625	7.693347930908203
494	6.034651756286621	6.710235595703125
495	6.241354942321777	6.934347152709961
496	5.897739410400391	6.543124198913574
497	6.271749496459961	6.922823429107666
498	6.262935638427734	7.021916389465332
499	6.167124271392822	6.927670478820801
